Страна,ВВП,Отношение к общему ВВП (%),Население,Отношение к общему населению (%),ВВП на душу населения,Скорость обращения накоплений(x100),Промежуточное потребление,Доля промышленности,Стоимость гос. субсидий,Доля субсируемых предприятий (%),Средняя доходность предприятия,Средняя рентабельность предприятия (%),Индекс Джини,Валовый выпуск,Занятость на фабриках,Безработица на заводах,Средняя занятость добывающего сектора,Безработица на добывающем секторе,Средняя з/п рабочего на фабрике,Средний доход капиталиста,Общее число рабочего населения,Количество свободных рабочих мест на фабриках,Грамотность,Диверсифицированность экономики,Наземный бюджет,Иновационность армии,Морской бюджет,Иновационность флота,Золотой запас,Золотодобыча,Доля ввп в 4-x крупнейших регионах,Размер страны в регионах,Экономическая плотность (ввп на регион),Плотность населения (население на регион),Тип правления,Общая денежная масса,Средние сбережения населения,Запасы гос.банка
ABU,9,0.0,46376,0.0,19.407,3.5,0,0.0,0.0,0.0,0.0,0.0,0.144,19,0,100.0,10216.0,0.0,0.0,0.0,10216.0,20000,45.82,1.964,0,34.0,6,20.0,231.619,0,1.0,1,9.0,46376.0,fascist_dictatorship,257.149,0.108,20.53
TKM,8,0.0,332380,0.02,2.407,0.002,2,0.0,0.0,0.0,0.0,0.0,0.503,22,0,100.0,62189.0,16.74,0.0,0.0,62189.0,0,27.27,2.873,0,0.0,0,0.0,489818.457,0,1.0,1,8.0,332380.0,democracy,489826.547,0.021,1.09
GMJ,8,0.0,14895412,0.71,0.054,0.002,61,0.0,0.0,0.0,0.0,0.0,0.983,661,0,100.0,0.0,100.0,0.0,0.0,0.0,40000,15.21,17046.176,0,16.0,0,12.0,426645.385,0,1.0,2,4.0,7447706.0,presidential_dictatorship,426660.385,0.001,0.0
KHI,6,0.0,638844,0.03,0.939,6.336,4,0.0,0.0,0.0,0.0,0.0,0.238,57,0,100.0,125837.0,8.2,0.0,0.0,125837.0,0,15.12,9.042,0,4.0,0,0.0,0.0,0,1.0,2,3.0,319422.0,absolute_monarchy,94.69,0.006,90.69
KOK,6,0.0,269900,0.01,2.223,4.177,0,0.0,0.0,0.0,0.0,0.0,0.092,11,0,0.0,66269.0,0.0,0.0,0.0,66269.0,0,4.12,1.599,0,4.0,0,0.0,0.0,0,1.0,1,6.0,269900.0,absolute_monarchy,143.64,0.019,138.64
BHR,3,0.0,28676,0.0,10.462,0.038,0,0.0,0.0,0.0,0.0,0.0,0.161,4,0,100.0,6712.0,0.0,0.0,0.0,6712.0,30000,42.52,1.096,0,34.0,0,14.0,7902.773,0,1.0,1,3.0,28676.0,prussian_constitutionalism,7984.373,0.07,79.6
BHU,3,0.0,179980,0.01,1.667,1.454,0,0.0,0.0,0.0,0.0,0.0,0.986,9,0,0.0,41893.0,0.0,0.0,0.0,41893.0,0,9.48,2.948,0,4.0,0,0.0,0.0,0,1.0,1,3.0,179980.0,absolute_monarchy,206.39,0.928,39.39
WIA,2,0.0,146300,0.01,1.367,0.0,0,0.0,0.0,0.0,0.0,0.0,0.197,8,0,100.0,32000.0,3.88,0.0,0.0,32000.0,0,30.34,2.81,0,0.0,0,0.0,500483.011,0,1.0,1,2.0,146300.0,absolute_monarchy,500485.011,0.014,0.0
BLZ,1,0.0,98220,0.0,1.018,0.001,0,0.0,0.0,0.0,0.0,0.0,1.0,28,0,100.0,2681.0,1.32,0.0,0.0,2681.0,50000,100.0,15.142,0,40.0,5,32.0,82415.964,0,1.0,1,1.0,98220.0,democracy,82830.844,0.0,414.88
TNT,1,0.0,33108,0.0,3.02,0.314,0,0.0,0.0,0.0,0.0,0.0,0.973,1,0,0.0,8126.0,0.0,0.0,0.0,8126.0,0,1.0,0.87,0,4.0,0,0.0,0.0,0,1.0,1,1.0,33108.0,absolute_monarchy,318.72,1.057,283.72
SIK,0,0.0,18484,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.989,0,0,0.0,4488.0,0.0,0.0,0.0,4488.0,0,1.0,0.0,0,2.0,0,0.0,0.004,0,0.0,1,0.0,18484.0,absolute_monarchy,147.714,1.623,117.71
