Страна,ВВП,Отношение к общему ВВП (%),Население,Отношение к общему населению (%),ВВП на душу населения,Скорость обращения накоплений(x100),Промежуточное потребление,Доля промышленности,Стоимость гос. субсидий,Доля субсируемых предприятий (%),Средняя доходность предприятия,Средняя рентабельность предприятия (%),Индекс Джини,Валовый выпуск,Занятость на фабриках,Безработица на заводах,Средняя занятость добывающего сектора,Безработица на добывающем секторе,Средняя з/п рабочего на фабрике,Средний доход капиталиста,Общее число рабочего населения,Количество свободных рабочих мест на фабриках,Грамотность,Диверсифицированность экономики,Наземный бюджет,Иновационность армии,Морской бюджет,Иновационность флота,Золотой запас,Золотодобыча,Доля ввп в 4-x крупнейших регионах,Размер страны в регионах,Экономическая плотность (ввп на регион),Плотность населения (население на регион),Тип правления,Общая денежная масса,Средние сбережения населения,Запасы гос.банка
PER,659,0.14,10888068,0.52,6.052,0.717,26,0.0,0.18,28.57,-0.353,-41.5,0.394,1332,1965,13.63,2455581.0,1.72,0.192,0.0,2457546.0,128035,13.16,0.46,129,10.0,137,10.0,91561.192,0,0.766,9,73.222,1209785.0,absolute_monarchy,91943.412,0.035,0.22
NIC,654,0.14,3881296,0.18,16.85,3.161,255,0.15,0.0,0.0,19.821,24.7,0.259,1694,35406,68.07,710082.0,0.48,5.409,45.0,745488.0,54594,98.98,0.006,192,40.0,78,12.0,8143.15,0,0.942,1,654.0,3881296.0,democracy,20691.82,0.102,12152.67
SWI,598,0.13,3331928,0.16,17.948,0.134,333,0.05,12.898,20.0,-13.506,-12.1,0.546,1472,119250,56.83,462061.0,3.6,0.832,171.4,581311.0,60750,99.3,0.005,183,40.0,0,10.0,431482.443,0,0.98,1,598.0,3331928.0,democracy,444835.173,0.028,13260.73
DAI,550,0.12,9689240,0.46,5.676,4.905,104,0.0,0.0,0.0,0.0,0.0,0.526,1357,0,0.0,1761393.0,10.91,0.0,0.0,1761393.0,0,46.77,3.792,62,12.0,55,10.0,2.252,0,1.0,2,275.0,4844620.0,absolute_monarchy,11213.322,0.041,10809.07
TAI,520,0.11,5652156,0.27,9.2,0.071,96,0.0,0.0,0.0,-2.406,-38.5,0.259,1004,13266,28.2,1204167.0,0.07,0.0,0.0,1217433.0,16734,13.22,0.232,63,14.0,14,12.0,735287.701,0,1.0,1,520.0,5652156.0,fascist_dictatorship,735730.701,0.078,0.0
GUA,510,0.11,5205544,0.25,9.797,22.331,129,0.0,6.417,100.0,-5.269,-53.2,0.367,1721,9223,23.82,812845.0,2.18,0.623,2.6,822068.0,10777,87.87,0.343,57,40.0,0,16.0,1915.14,0,1.0,1,510.0,5205544.0,fascist_dictatorship,2283.87,0.07,4.73
JAM,507,0.11,1562780,0.07,32.442,0.107,47,0.0,0.0,0.0,0.0,0.0,0.206,853,0,100.0,305149.0,0.0,0.0,0.0,305149.0,0,100.0,1.709,200,40.0,0,34.0,471381.594,0,1.0,1,507.0,1562780.0,hms_government,471802.594,0.269,0.0
SER,507,0.11,2294752,0.11,22.094,22.153,84,0.04,0.0,0.0,5.435,16.1,0.386,1068,16104,53.27,448195.0,0.0,2.199,34.1,464299.0,83896,91.38,0.014,132,40.0,0,4.0,1635.917,0,0.986,2,253.5,1147376.0,democracy,2288.667,0.156,293.75
HON,450,0.1,3073052,0.15,14.643,3.187,48,0.0,0.0,0.0,-9.792,-100.0,0.257,1097,8583,83.01,581988.0,0.08,0.623,2.7,590571.0,31417,82.05,2.438,21,38.0,60,12.0,13831.934,0,1.0,1,450.0,3073052.0,proletarian_dictatorship,14117.674,0.092,1.74
IRE,352,0.08,2608136,0.12,13.496,0.214,191,0.0,77.535,41.67,-17.182,-83.3,0.375,740,117314,6.37,459674.0,2.59,0.453,85.3,576988.0,212686,96.98,0.024,165,40.0,29,34.0,164320.982,0,0.991,4,88.0,652034.0,democracy,164408.282,0.007,69.3
CNG,342,0.07,12052464,0.57,2.838,0.006,27,0.0,0.0,0.0,0.0,0.0,0.664,1323,0,0.0,1716119.0,37.28,0.0,0.0,1716119.0,0,40.84,5.858,63,4.0,0,0.0,5409467.343,63,0.997,3,114.0,4017488.0,absolute_monarchy,5409914.623,0.037,0.28
FIN,322,0.07,1336952,0.06,24.085,0.148,1206,0.14,161.821,40.0,-14.401,-9.6,0.454,1702,90744,0.0,201031.0,0.69,0.0,0.0,291775.0,469256,97.08,0.002,78,40.0,13,32.0,9291.897,0,0.997,4,80.5,334238.0,proletarian_dictatorship,217449.137,0.034,208111.24
BOL,290,0.06,3395600,0.16,8.54,23.975,13,0.0,0.0,0.0,0.0,0.0,0.311,947,0,100.0,703002.0,5.11,0.0,0.0,703002.0,140000,25.76,4.941,98,38.0,0,8.0,0.247,0,1.0,4,72.5,848900.0,proletarian_dictatorship,1209.607,0.052,1033.36
RAJ,263,0.06,6361024,0.3,4.135,0.064,82,0.0,0.0,0.0,0.0,0.0,0.559,650,0,0.0,907888.0,27.73,0.0,0.0,907888.0,0,74.46,2.532,18,6.0,0,0.0,412807.877,0,1.0,1,263.0,6361024.0,absolute_monarchy,413055.877,0.039,0.0
ECU,263,0.06,1996076,0.1,13.176,2.0,10,0.0,0.0,0.0,0.0,0.0,0.491,471,0,100.0,408771.0,0.94,0.0,0.0,408771.0,40000,72.21,2.2,93,40.0,14,8.0,12926.951,0,1.0,1,263.0,1996076.0,democracy,13146.971,0.094,32.02
ETH,255,0.06,13140920,0.63,1.941,0.678,59,0.0,0.0,0.0,0.0,0.0,0.742,806,0,0.0,2939091.0,2.25,0.0,0.0,2939091.0,0,14.98,3.388,30,8.0,29,6.0,37075.335,0,0.992,5,51.0,2628184.0,absolute_monarchy,37633.405,0.036,86.07
LIT,247,0.05,1672080,0.08,14.772,0.052,57,0.19,0.0,0.0,13.428,52.0,0.508,536,10943,43.15,334711.0,4.52,8.094,147.1,345654.0,49057,54.04,0.007,164,40.0,9,14.0,472757.254,0,0.931,1,247.0,1672080.0,democracy,472943.804,0.09,36.55
LAT,240,0.05,2414000,0.12,9.942,0.058,154,0.16,0.0,0.0,-1.008,-4.4,0.463,538,30903,58.22,418492.0,7.77,2.404,25.6,449395.0,99097,92.74,0.005,42,40.0,0,14.0,414061.919,0,0.942,1,240.0,2414000.0,democracy,414240.409,0.07,8.49
PRG,240,0.05,2009664,0.1,11.942,2.826,153,0.07,8.979,28.57,-2.205,-8.3,0.535,781,29070,11.65,306874.0,3.18,1.591,128.3,335944.0,100930,80.3,0.007,131,40.0,0,4.0,8167.224,0,0.971,2,120.0,1004832.0,fascist_dictatorship,8492.564,0.063,199.34
BUL,209,0.05,908956,0.04,22.993,6.578,6,0.0,0.0,0.0,0.0,0.0,0.237,380,0,100.0,193571.0,4.26,0.0,0.0,193571.0,40000,58.05,1.83,39,40.0,21,12.0,2787.379,0,1.0,1,209.0,908956.0,hms_government,3177.459,0.167,238.08
